budget_factor,algname,fid,dim,lib,fx,
1000,CS,10,10,OPYTIMIZER,-5.794096431,
1000,CS,10,20,OPYTIMIZER,1.235268499,
1000,CS,11,2,OPYTIMIZER,-6.527263387,
1000,CS,11,5,OPYTIMIZER,-6.375079413,
1000,CS,11,10,OPYTIMIZER,-6.247958983,
1000,CS,11,20,OPYTIMIZER,-6.13728849,
1000,CS,12,2,OPYTIMIZER,-6.471919746,
1000,CS,12,5,OPYTIMIZER,-5.441961987,
1000,CS,12,10,OPYTIMIZER,-5.575887747,
1000,CS,12,20,OPYTIMIZER,-4.628797746,
1000,CS,13,2,OPYTIMIZER,-6.650669888,
1000,CS,13,5,OPYTIMIZER,-6.249517932,
1000,CS,13,10,OPYTIMIZER,-6.146392555,
1000,CS,13,20,OPYTIMIZER,-4.605434449,
1000,CS,14,2,OPYTIMIZER,-7.081056188,
1000,CS,14,5,OPYTIMIZER,-6.916899307,
1000,CS,14,10,OPYTIMIZER,-6.783479066,
1000,CS,14,20,OPYTIMIZER,-4.78410214,
1000,CS,15,2,OPYTIMIZER,-6.474355471,
1000,CS,15,5,OPYTIMIZER,-2.738122313,
1000,CS,15,10,OPYTIMIZER,1.007972248,
1000,CS,15,20,OPYTIMIZER,1.501711605,
1000,CS,16,2,OPYTIMIZER,-6.547477399,
1000,CS,16,5,OPYTIMIZER,-2.392183588,
1000,CS,16,10,OPYTIMIZER,-0.397953259,
1000,CS,16,20,OPYTIMIZER,0.629097546,
1000,CS,17,2,OPYTIMIZER,-6.690508275,
1000,CS,17,5,OPYTIMIZER,-6.493895023,
1000,CS,17,10,OPYTIMIZER,-4.737632778,
1000,CS,17,20,OPYTIMIZER,-1.180818094,
1000,CS,18,2,OPYTIMIZER,-6.558420552,
1000,CS,18,5,OPYTIMIZER,-6.376636958,
1000,CS,18,10,OPYTIMIZER,-2.563886508,
1000,CS,18,20,OPYTIMIZER,-0.182154162,
1000,CS,19,2,OPYTIMIZER,-6.861231901,
1000,CS,19,5,OPYTIMIZER,-0.91054523,
1000,CS,19,10,OPYTIMIZER,-0.024174956,
1000,CS,19,20,OPYTIMIZER,0.226400985,
1000,CS,20,2,OPYTIMIZER,-6.861634984,
1000,CS,20,5,OPYTIMIZER,-6.383488748,
1000,CS,20,10,OPYTIMIZER,-0.199618232,
1000,CS,20,20,OPYTIMIZER,-0.082636326,
1000,CS,21,2,OPYTIMIZER,-7.417149048,
1000,CS,21,5,OPYTIMIZER,-6.603109504,
1000,CS,21,10,OPYTIMIZER,-6.404887052,
1000,CS,21,20,OPYTIMIZER,-1.705560048,
1000,CS,22,2,OPYTIMIZER,-7.322834781,
1000,CS,22,5,OPYTIMIZER,-6.558313452,
1000,CS,22,10,OPYTIMIZER,-1.964457829,
1000,CS,22,20,OPYTIMIZER,0.394755456,
1000,CS,23,2,OPYTIMIZER,-1.054643094,
1000,CS,23,5,OPYTIMIZER,-0.291262164,
1000,CS,23,10,OPYTIMIZER,-0.208946426,
1000,CS,23,20,OPYTIMIZER,-0.056180952,
1000,CS,24,2,OPYTIMIZER,-5.156015455,
1000,CS,24,5,OPYTIMIZER,0.405855656,
1000,CS,24,10,OPYTIMIZER,1.320090064,
1000,CS,24,20,OPYTIMIZER,1.721484401,
5000,CS,1,2,OPYTIMIZER,-8,
5000,CS,1,5,OPYTIMIZER,-8,
5000,CS,1,10,OPYTIMIZER,-8,
5000,CS,1,20,OPYTIMIZER,-8,
5000,CS,2,2,OPYTIMIZER,-8,
5000,CS,2,5,OPYTIMIZER,-8,
5000,CS,2,10,OPYTIMIZER,-8,
5000,CS,2,20,OPYTIMIZER,-8,
5000,CS,3,2,OPYTIMIZER,-8,
5000,CS,3,5,OPYTIMIZER,-6.540832737,
5000,CS,3,10,OPYTIMIZER,0.303161897,
5000,CS,3,20,OPYTIMIZER,1.13607089,
5000,CS,4,2,OPYTIMIZER,-7.952834982,
5000,CS,4,5,OPYTIMIZER,-6.158809447,
5000,CS,4,10,OPYTIMIZER,0.579020134,
5000,CS,4,20,OPYTIMIZER,1.280993877,
5000,CS,5,2,OPYTIMIZER,-8,
5000,CS,5,5,OPYTIMIZER,-8,
5000,CS,5,10,OPYTIMIZER,-8,
5000,CS,5,20,OPYTIMIZER,-8,
5000,CS,6,2,OPYTIMIZER,-8,
5000,CS,6,5,OPYTIMIZER,-7.656268199,
5000,CS,6,10,OPYTIMIZER,-7.168731136,
5000,CS,6,20,OPYTIMIZER,-6.754592638,
5000,CS,7,2,OPYTIMIZER,-8,
5000,CS,7,5,OPYTIMIZER,-8,
5000,CS,7,10,OPYTIMIZER,-7.751633409,
5000,CS,7,20,OPYTIMIZER,-0.101563424,
5000,CS,8,2,OPYTIMIZER,-7.654934663,
5000,CS,8,5,OPYTIMIZER,-6.797197278,
5000,CS,8,10,OPYTIMIZER,-5.740149863,
5000,CS,8,20,OPYTIMIZER,-6.198870313,
5000,CS,9,2,OPYTIMIZER,-7.895719087,
5000,CS,9,5,OPYTIMIZER,-6.872510064,
5000,CS,9,10,OPYTIMIZER,-6.409019002,
5000,CS,9,20,OPYTIMIZER,-6.183022525,
5000,CS,10,2,OPYTIMIZER,-7.687627393,
5000,CS,10,5,OPYTIMIZER,-7.101475675,
