budget_factor,algname,fid,dim,lib,fx,
50,bipop,4,5,Baselines,1.345851852,
50,bipop,4,10,Baselines,1.804429833,
50,bipop,4,20,Baselines,2.215072603,
50,bipop,5,2,Baselines,-6.710191076,
50,bipop,5,5,Baselines,-4.33434544,
50,bipop,5,10,Baselines,0.057614794,
50,bipop,5,20,Baselines,1.162038123,
50,bipop,6,2,Baselines,-0.463007931,
50,bipop,6,5,Baselines,0.46464724,
50,bipop,6,10,Baselines,1.099303117,
50,bipop,6,20,Baselines,1.533562682,
50,bipop,7,2,Baselines,-1.77077922,
50,bipop,7,5,Baselines,0.047143949,
50,bipop,7,10,Baselines,0.571966532,
50,bipop,7,20,Baselines,1.014010435,
50,bipop,8,2,Baselines,-0.564137768,
50,bipop,8,5,Baselines,0.681308997,
50,bipop,8,10,Baselines,1.327696102,
50,bipop,8,20,Baselines,1.502074338,
50,bipop,9,2,Baselines,-0.781046931,
50,bipop,9,5,Baselines,0.645821232,
50,bipop,9,10,Baselines,1.128375497,
50,bipop,9,20,Baselines,1.395045384,
50,bipop,10,2,Baselines,1.581841564,
50,bipop,10,5,Baselines,3.485110734,
50,bipop,10,10,Baselines,4.186421507,
50,bipop,10,20,Baselines,4.719033641,
50,bipop,11,2,Baselines,1.55602507,
50,bipop,11,5,Baselines,1.669871898,
50,bipop,11,10,Baselines,1.95856611,
50,bipop,11,20,Baselines,2.298804931,
50,bipop,12,2,Baselines,1.524800614,
50,bipop,12,5,Baselines,3.573741545,
50,bipop,12,10,Baselines,4.241929418,
50,bipop,12,20,Baselines,4.340689734,
50,bipop,13,2,Baselines,0.624842427,
50,bipop,13,5,Baselines,1.337229603,
50,bipop,13,10,Baselines,1.588133289,
50,bipop,13,20,Baselines,1.690749116,
50,bipop,14,2,Baselines,-1.958024729,
50,bipop,14,5,Baselines,-1.563218088,
50,bipop,14,10,Baselines,-1.285594218,
50,bipop,14,20,Baselines,-1.134679842,
50,bipop,15,2,Baselines,0.574970803,
50,bipop,15,5,Baselines,1.26060438,
50,bipop,15,10,Baselines,1.744283219,
50,bipop,15,20,Baselines,2.151537989,
50,bipop,16,2,Baselines,-0.011951478,
50,bipop,16,5,Baselines,0.800101188,
50,bipop,16,10,Baselines,1.148545406,
50,bipop,16,20,Baselines,1.278842223,
50,bipop,17,2,Baselines,-0.515915636,
50,bipop,17,5,Baselines,-0.407726954,
50,bipop,17,10,Baselines,-0.249662931,
50,bipop,17,20,Baselines,-0.218236654,
50,bipop,18,2,Baselines,0.212845088,
50,bipop,18,5,Baselines,0.276237259,
50,bipop,18,10,Baselines,0.437909318,
50,bipop,18,20,Baselines,0.520137019,
50,bipop,19,2,Baselines,-1.091372612,
50,bipop,19,5,Baselines,0.261387989,
50,bipop,19,10,Baselines,0.598235799,
50,bipop,19,20,Baselines,0.766385376,
50,bipop,20,2,Baselines,0.077492614,
50,bipop,20,5,Baselines,0.331667456,
50,bipop,20,10,Baselines,0.419365231,
50,bipop,20,20,Baselines,0.455261343,
50,bipop,21,2,Baselines,-0.844017789,
50,bipop,21,5,Baselines,-0.017945194,
50,bipop,21,10,Baselines,0.104338506,
50,bipop,21,20,Baselines,0.372965625,
50,bipop,22,2,Baselines,-1.004788673,
50,bipop,22,5,Baselines,0.383396286,
50,bipop,22,10,Baselines,0.698130415,
50,bipop,22,20,Baselines,0.858822797,
50,bipop,23,2,Baselines,0.490777905,
50,bipop,23,5,Baselines,0.462795507,
50,bipop,23,10,Baselines,0.439938462,
50,bipop,23,20,Baselines,0.555228069,
50,bipop,24,2,Baselines,0.655933556,
50,bipop,24,5,Baselines,1.34053069,
50,bipop,24,10,Baselines,1.80968161,
50,bipop,24,20,Baselines,2.198653299,
100,bipop,1,2,Baselines,-6.128077693,
100,bipop,1,5,Baselines,-5.328472267,
100,bipop,1,10,Baselines,-5.091882771,
100,bipop,1,20,Baselines,-5.456354492,
100,bipop,2,2,Baselines,0.222634388,
100,bipop,2,5,Baselines,2.38626237,
100,bipop,2,10,Baselines,3.397941059,
100,bipop,2,20,Baselines,4.054999121,
100,bipop,3,2,Baselines,0.032410163,
100,bipop,3,5,Baselines,0.897930588,
100,bipop,3,10,Baselines,1.381861112,
100,bipop,3,20,Baselines,1.653306159,
100,bipop,4,2,Baselines,0.446417822,
100,bipop,4,5,Baselines,1.115147655,
100,bipop,4,10,Baselines,1.465347747,
100,bipop,4,20,Baselines,1.787913446,
100,bipop,5,2,Baselines,-7.352968308,
100,bipop,5,5,Baselines,-5.74950708,
