budget_factor,algname,fid,dim,lib,fx,
10,DE,13,2,OPYTIMIZER,-6.036675509,
10,DE,13,5,OPYTIMIZER,-5.867886859,
10,DE,13,10,OPYTIMIZER,-5.079542392,
10,DE,13,20,OPYTIMIZER,-0.567829864,
10,DE,14,2,OPYTIMIZER,-6.404186745,
10,DE,14,5,OPYTIMIZER,-6.240903493,
10,DE,14,10,OPYTIMIZER,-5.74798574,
10,DE,14,20,OPYTIMIZER,-3.720598898,
10,DE,15,2,OPYTIMIZER,-2.964773337,
10,DE,15,5,OPYTIMIZER,-0.568732628,
10,DE,15,10,OPYTIMIZER,1.502516888,
10,DE,15,20,OPYTIMIZER,1.821785402,
10,DE,16,2,OPYTIMIZER,-4.452510521,
10,DE,16,5,OPYTIMIZER,-0.76310022,
10,DE,16,10,OPYTIMIZER,0.749655599,
10,DE,16,20,OPYTIMIZER,1.123256687,
10,DE,17,2,OPYTIMIZER,-6.295774919,
10,DE,17,5,OPYTIMIZER,-6.230057927,
10,DE,17,10,OPYTIMIZER,-5.938293774,
10,DE,17,20,OPYTIMIZER,-3.048805639,
10,DE,18,2,OPYTIMIZER,-6.174218216,
10,DE,18,5,OPYTIMIZER,-6.118010577,
10,DE,18,10,OPYTIMIZER,-4.871853303,
10,DE,18,20,OPYTIMIZER,-1.04388045,
10,DE,19,2,OPYTIMIZER,-4.892556316,
10,DE,19,5,OPYTIMIZER,0.025524432,
10,DE,19,10,OPYTIMIZER,0.580800605,
10,DE,19,20,OPYTIMIZER,0.794533513,
10,DE,20,2,OPYTIMIZER,-6.295800866,
10,DE,20,5,OPYTIMIZER,-3.334277718,
10,DE,20,10,OPYTIMIZER,-1.433631999,
10,DE,20,20,OPYTIMIZER,0.769321397,
10,DE,21,2,OPYTIMIZER,-5.725716531,
10,DE,21,5,OPYTIMIZER,-2.959218008,
10,DE,21,10,OPYTIMIZER,-0.732979857,
10,DE,21,20,OPYTIMIZER,0.655755114,
10,DE,22,2,OPYTIMIZER,-6.343845475,
10,DE,22,5,OPYTIMIZER,-0.35515616,
10,DE,22,10,OPYTIMIZER,0.063215682,
10,DE,22,20,OPYTIMIZER,1.008065735,
10,DE,23,2,OPYTIMIZER,-0.017360135,
10,DE,23,5,OPYTIMIZER,0.136256628,
10,DE,23,10,OPYTIMIZER,0.221292624,
10,DE,23,20,OPYTIMIZER,0.349314542,
10,DE,24,2,OPYTIMIZER,0.092358768,
10,DE,24,5,OPYTIMIZER,1.203069309,
10,DE,24,10,OPYTIMIZER,1.712761756,
10,DE,24,20,OPYTIMIZER,2.170090361,
50,DE,1,2,OPYTIMIZER,-6.517404176,
50,DE,1,5,OPYTIMIZER,-6.242966388,
50,DE,1,10,OPYTIMIZER,-6.141167832,
50,DE,1,20,OPYTIMIZER,-6.040937495,
50,DE,2,2,OPYTIMIZER,-5.77132807,
50,DE,2,5,OPYTIMIZER,-5.49696192,
50,DE,2,10,OPYTIMIZER,-5.358011252,
50,DE,2,20,OPYTIMIZER,-5.264197232,
50,DE,3,2,OPYTIMIZER,-5.539403395,
50,DE,3,5,OPYTIMIZER,-2.81707884,
50,DE,3,10,OPYTIMIZER,0.917697127,
50,DE,3,20,OPYTIMIZER,1.453392535,
50,DE,4,2,OPYTIMIZER,-6.150329965,
50,DE,4,5,OPYTIMIZER,-0.183850787,
50,DE,4,10,OPYTIMIZER,1.038626966,
50,DE,4,20,OPYTIMIZER,1.513220179,
50,DE,5,2,OPYTIMIZER,-6.461605813,
50,DE,5,5,OPYTIMIZER,-6.164028436,
50,DE,5,10,OPYTIMIZER,-6.084447496,
50,DE,5,20,OPYTIMIZER,-6.003149467,
50,DE,6,2,OPYTIMIZER,-6.275169672,
50,DE,6,5,OPYTIMIZER,-5.262761974,
50,DE,6,10,OPYTIMIZER,-5.905754596,
50,DE,6,20,OPYTIMIZER,-4.848199393,
50,DE,7,2,OPYTIMIZER,-6.355848734,
50,DE,7,5,OPYTIMIZER,-6.128985061,
50,DE,7,10,OPYTIMIZER,-6.013525796,
50,DE,7,20,OPYTIMIZER,-0.670027884,
50,DE,8,2,OPYTIMIZER,-6.296796045,
50,DE,8,5,OPYTIMIZER,-5.87942156,
50,DE,8,10,OPYTIMIZER,-5.625813228,
50,DE,8,20,OPYTIMIZER,-4.768007034,
50,DE,9,2,OPYTIMIZER,-6.344498994,
50,DE,9,5,OPYTIMIZER,-5.064702492,
50,DE,9,10,OPYTIMIZER,-5.606106789,
50,DE,9,20,OPYTIMIZER,-4.430369974,
50,DE,10,2,OPYTIMIZER,-5.751253439,
50,DE,10,5,OPYTIMIZER,-5.498793972,
50,DE,10,10,OPYTIMIZER,-4.175358301,
50,DE,10,20,OPYTIMIZER,2.113846411,
50,DE,11,2,OPYTIMIZER,-5.787880975,
50,DE,11,5,OPYTIMIZER,-5.943797691,
50,DE,11,10,OPYTIMIZER,-5.542986612,
50,DE,11,20,OPYTIMIZER,-3.736438512,
50,DE,12,2,OPYTIMIZER,-5.664278529,
50,DE,12,5,OPYTIMIZER,-5.100245104,
50,DE,12,10,OPYTIMIZER,-4.337361545,
50,DE,12,20,OPYTIMIZER,1.053048012,
50,DE,13,2,OPYTIMIZER,-6.135339052,
50,DE,13,5,OPYTIMIZER,-5.916985167,
50,DE,13,10,OPYTIMIZER,-5.106962513,
50,DE,13,20,OPYTIMIZER,-0.595965561,
50,DE,14,2,OPYTIMIZER,-6.512373828,
50,DE,14,5,OPYTIMIZER,-6.298899263,
50,DE,14,10,OPYTIMIZER,-5.787311088,
50,DE,14,20,OPYTIMIZER,-3.782908403,
50,DE,15,2,OPYTIMIZER,-2.999054475,
50,DE,15,5,OPYTIMIZER,-0.608187835,
50,DE,15,10,OPYTIMIZER,1.460512095,
50,DE,15,20,OPYTIMIZER,1.775144761,
50,DE,16,2,OPYTIMIZER,-4.512163215,
50,DE,16,5,OPYTIMIZER,-0.795621111,
50,DE,16,10,OPYTIMIZER,0.729638916,
50,DE,16,20,OPYTIMIZER,1.113825223,
50,DE,17,2,OPYTIMIZER,-6.356459724,
50,DE,17,5,OPYTIMIZER,-6.2732488,
50,DE,17,10,OPYTIMIZER,-5.983148834,
50,DE,17,20,OPYTIMIZER,-3.080622339,
50,DE,18,2,OPYTIMIZER,-6.22609267,
50,DE,18,5,OPYTIMIZER,-6.150552705,
50,DE,18,10,OPYTIMIZER,-4.906012095,
50,DE,18,20,OPYTIMIZER,-1.075849988,
50,DE,19,2,OPYTIMIZER,-4.983398769,
50,DE,19,5,OPYTIMIZER,0.008046798,
50,DE,19,10,OPYTIMIZER,0.5473194,
50,DE,19,20,OPYTIMIZER,0.752416739,
50,DE,20,2,OPYTIMIZER,-6.299679731,
50,DE,20,5,OPYTIMIZER,-3.508475768,
50,DE,20,10,OPYTIMIZER,-1.508551682,
50,DE,20,20,OPYTIMIZER,0.684839351,
50,DE,21,2,OPYTIMIZER,-5.802872633,
50,DE,21,5,OPYTIMIZER,-2.97658293,
50,DE,21,10,OPYTIMIZER,-0.749267048,
50,DE,21,20,OPYTIMIZER,0.646915772,
50,DE,22,2,OPYTIMIZER,-6.508131228,
50,DE,22,5,OPYTIMIZER,-0.384952558,
50,DE,22,10,OPYTIMIZER,0.034493881,
50,DE,22,20,OPYTIMIZER,0.994355823,
50,DE,23,2,OPYTIMIZER,-0.107242313,
50,DE,23,5,OPYTIMIZER,0.101808837,
50,DE,23,10,OPYTIMIZER,0.19827761,
50,DE,23,20,OPYTIMIZER,0.332743356,
50,DE,24,2,OPYTIMIZER,0.049129301,
50,DE,24,5,OPYTIMIZER,1.186638765,
50,DE,24,10,OPYTIMIZER,1.692000917,
50,DE,24,20,OPYTIMIZER,2.138404972,
100,DE,1,2,OPYTIMIZER,-6.573423451,
100,DE,1,5,OPYTIMIZER,-6.315156119,
100,DE,1,10,OPYTIMIZER,-6.214973811,
